TStamp Europe/Zagreb	X [µT]	Y [µT]	Z [µT]
1613949336005	-21.180000	18.420000	-36.360001
1613949336025	-21.120001	18.420000	-36.360001
1613949336045	-21.120001	18.530001	-36.299999
1613949336066	-21.120001	18.240000	-36.049999
1613949336086	-21.059999	18.420000	-36.049999
1613949336106	-21.059999	18.420000	-36.230000
1613949336125	-20.879999	18.420000	-36.299999
1613949336145	-21.000000	18.180000	-36.360001
1613949336165	-21.000000	18.110001	-36.360001
1613949336185	-21.059999	18.059999	-36.360001
1613949336205	-21.120001	17.870001	-36.410000
1613949336225	-20.879999	18.110001	-36.660000
1613949336245	-20.760000	17.870001	-36.840000
1613949336266	-20.879999	17.940001	-36.540001
1613949336286	-21.000000	17.940001	-36.299999
1613949336306	-20.820000	18.110001	-36.299999
1613949336326	-20.820000	18.110001	-36.119999
1613949336345	-20.879999	18.180000	-36.049999
1613949336365	-21.059999	18.420000	-36.230000
1613949336386	-21.180000	18.110001	-36.000000
1613949336406	-21.600000	18.110001	-36.049999
1613949336426	-21.719999	17.820000	-36.299999
1613949336446	-21.719999	17.580000	-36.360001
1613949336466	-21.780001	17.340000	-36.299999
1613949336486	-22.020000	17.030001	-36.360001
1613949336506	-22.020000	16.740000	-36.299999
1613949336526	-22.260000	16.370001	-36.230000
1613949336546	-22.379999	16.680000	-36.299999
1613949336566	-22.559999	16.920000	-36.230000
1613949336586	-22.559999	16.850000	-36.230000
1613949336606	-22.799999	16.680000	-35.930000
1613949336625	-23.219999	16.559999	-36.049999
1613949336645	-23.510000	16.559999	-36.049999
1613949336666	-23.820000	16.610001	-36.360001
1613949336686	-24.000000	16.680000	-36.360001
1613949336706	-24.180000	16.080000	-36.230000
1613949336726	-24.420000	15.660000	-36.049999
1613949336746	-24.480000	15.170000	-35.930000
1613949336766	-24.900000	15.060000	-36.119999
1613949336785	-24.959999	14.880000	-36.049999
1613949336806	-24.780001	14.210000	-36.119999
1613949336825	-21.240000	18.059999	-33.889999
1613949336845	-21.180000	17.690001	-33.889999
1613949336866	-21.660000	17.340000	-34.020000
1613949336886	-21.780001	16.980000	-34.070000
1613949336906	-21.959999	16.790001	-34.250000
1613949336926	-22.200001	16.559999	-34.380001
1613949336946	-22.379999	16.370001	-34.619999
1613949336966	-22.850000	16.370001	-34.500000
1613949336986	-23.160000	15.780000	-34.250000
1613949337006	-23.639999	15.290000	-34.380001
1613949337025	-23.459999	15.000000	-34.380001
1613949337045	-23.459999	14.580000	-34.380001
1613949337065	-23.760000	14.340000	-34.380001
1613949337085	-23.700001	13.860000	-34.380001
1613949337105	-24.180000	13.500000	-34.020000
1613949337125	-24.059999	12.840000	-34.200001
1613949337145	-24.480000	11.580000	-34.320000
1613949337165	-24.600000	11.210000	-34.070000
1613949337186	-24.780001	11.210000	-34.139999
1613949337206	-25.260000	10.670000	-34.139999
1613949337226	-25.379999	9.840000	-34.020000
1613949337246	-25.680000	9.420000	-34.020000
1613949337266	-25.620001	8.880000	-33.959999
1613949337285	-25.920000	8.820000	-33.959999
1613949337305	-26.090000	8.340000	-33.959999
1613949337325	-26.219999	7.910000	-33.959999
1613949337346	-26.510000	7.500000	-33.959999
1613949337366	-26.459999	7.320000	-33.709999
1613949337386	-26.700001	7.140000	-33.660000
1613949337405	-26.459999	6.540000	-33.480000
1613949337425	-26.400000	6.180000	-33.480000
1613949337445	-26.459999	5.580000	-33.230000
1613949337465	-26.700001	5.040000	-33.180000
1613949337485	-26.580000	4.500000	-33.119999
1613949337506	-26.160000	3.780000	-33.119999
1613949337525	-26.280001	3.240000	-33.180000
1613949337545	-26.040001	2.880000	-33.119999
1613949337565	-26.340000	2.640000	-33.049999
1613949337585	-26.160000	2.220000	-33.119999
1613949337605	-26.090000	1.620000	-33.230000
1613949337625	-26.090000	0.900000	-33.360001
1613949337646	-26.160000	0.480000	-33.480000
1613949337666	-26.160000	0.000000	-33.410000
1613949337686	-26.160000	-0.290000	-33.410000
1613949337706	-26.090000	-0.720000	-33.779999
1613949337726	-25.850000	-1.320000	-33.840000
1613949337746	-25.850000	-1.860000	-33.959999
1613949337766	-25.680000	-2.150000	-34.020000
1613949337786	-25.680000	-3.360000	-33.889999
1613949337806	-25.559999	-3.660000	-33.840000
1613949337826	-25.620001	-3.950000	-34.070000
1613949337845	-25.260000	-4.850000	-34.070000
1613949337865	-25.139999	-5.580000	-33.889999
1613949337885	-25.010000	-5.940000	-34.070000
1613949337905	-24.959999	-6.660000	-34.070000
1613949337926	-24.840000	-7.140000	-34.320000
1613949337946	-24.540001	-7.740000	-34.500000
1613949337966	-24.180000	-8.460000	-34.500000
1613949337986	-23.580000	-9.240000	-34.320000
1613949338006	-23.340000	-9.840000	-34.139999
1613949338026	-22.920000	-10.440000	-34.070000
1613949338045	-22.379999	-12.060000	-33.959999
1613949338065	-21.959999	-12.780000	-33.660000
1613949338085	-21.350000	-13.500000	-33.360001
1613949338105	-21.059999	-14.100000	-33.049999
1613949338125	-20.639999	-14.750000	-32.820000
1613949338145	-20.520000	-15.170000	-32.930000
1613949338166	-20.160000	-15.360000	-33.119999
1613949338186	-19.680000	-15.660000	-33.049999
1613949338205	-19.370001	-16.440001	-33.049999
1613949338225	-19.020000	-16.790001	-33.299999
1613949338245	-18.530001	-17.030001	-33.049999
1613949338265	-18.240000	-17.340000	-33.299999
1613949338286	-18.240000	-17.760000	-33.299999
1613949338306	-18.059999	-17.940001	-33.230000
1613949338326	-17.820000	-18.240000	-33.049999
1613949338346	-17.639999	-18.660000	-33.049999
1613949338366	-17.340000	-18.950001	-33.119999
1613949338386	-17.209999	-19.080000	-33.230000
1613949338405	-16.980000	-19.500000	-33.360001
1613949338425	-16.680000	-19.680000	-33.360001
1613949338446	-16.260000	-19.500000	-33.540001
1613949338466	-15.780000	-19.740000	-33.540001
1613949338486	-15.780000	-19.680000	-33.709999
1613949338506	-15.660000	-19.559999	-33.660000
1613949338525	-15.540000	-19.680000	-33.709999
1613949338545	-15.660000	-19.680000	-33.709999
1613949338565	-15.780000	-19.430000	-33.840000
1613949338585	-15.660000	-19.430000	-33.709999
1613949338606	-15.710000	-19.500000	-33.590000
1613949338626	-15.960000	-19.680000	-33.299999
1613949338646	-15.780000	-19.740000	-33.360001
1613949338666	-15.780000	-19.790001	-33.540001
1613949338686	-15.780000	-19.559999	-33.410000
1613949338705	-15.540000	-19.740000	-33.299999
1613949338725	-15.360000	-19.680000	-33.360001
1613949338745	-15.420000	-19.680000	-33.230000
1613949338765	-15.240000	-19.740000	-33.360001
1613949338786	-15.240000	-19.790001	-33.590000
1613949338806	-15.170000	-20.030001	-33.410000
1613949338825	-15.060000	-20.100000	-33.540001
1613949338845	-15.240000	-20.030001	-33.660000
1613949338865	-15.420000	-20.100000	-33.410000
1613949338885	-15.660000	-20.100000	-33.410000
1613949338906	-15.660000	-20.400000	-33.410000
1613949338926	-15.660000	-20.340000	-33.410000
1613949338945	-15.540000	-19.980000	-33.840000
1613949338965	-15.660000	-19.680000	-33.959999
1613949338985	-15.960000	-19.430000	-33.889999
